kind,group,id,name_zh,path,bytes,sha256,native_name_matches,native_check
native_asset_package,GoodsKit,GK_Slateblue_Tile,GK_Slateblue_Tile,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Slateblue_Tile.uasset,21489,1e8ebbb6cdfd070e5a263232765388961c89435608e93d1100c5182090096077,,
native_asset_package,GoodsKit,GK_Slateblue_Tile_Light,GK_Slateblue_Tile_Light,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Slateblue_Tile_Light.uasset,21555,c1cefb4b0e8de50c9bdc532a981c57b52e4b8911a9e3a8d6ca889a414ab24a1e,,
native_asset_package,GoodsKit,GK_Timber_Recess,GK_Timber_Recess,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Timber_Recess.uasset,21478,8442756fd5c62d9f6093f41132c9e9f5f06ea19dddf4204921c6c4ac0653782e,,
native_asset_package,GoodsKit,GK_Warm_Oak,GK_Warm_Oak,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Warm_Oak.uasset,21423,05d229b97f82f6544c3472e2fee11616150ef7f7ac65097ff72a5d714cc0de6f,,
native_asset_package,GoodsKit,goods_tiles_slateblue_crate,蓝灰瓦商品箱,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/goods_tiles_slateblue_crate.uasset,86142,dba2b6aa611b6402e54d8ea79ebf8d90a742370b6343f9168a17cf7deb9efb33,,
native_asset_package,GoodsKit,GK_Cream_Label,GK_Cream_Label,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Cream_Label.uasset,21467,81d94520ca600bd2acdb18880c7c9408d71ed6a8503ecd00e64a6aac7c73381b,,
native_asset_package,GoodsKit,GK_Cut_Edge,GK_Cut_Edge,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Cut_Edge.uasset,21434,6e55088f31b21d6ece7bfa10ec88ec5669eaaeef0f31c059bd4b709b31240383,,
native_asset_package,GoodsKit,GK_Honey_Plank,GK_Honey_Plank,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Honey_Plank.uasset,21467,e18688b31867a6322833de3274347fdd6671b09e21768042e1f972cb78bc12e9,,
native_asset_package,GoodsKit,GK_Terracotta_Tile,GK_Terracotta_Tile,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Terracotta_Tile.uasset,21511,d4946ce7b8eb5e2ba749a1e0c253691123fe8e47e3c0c35ccb3cec848baf46e1,,
native_asset_package,GoodsKit,GK_Terracotta_Tile_Light,GK_Terracotta_Tile_Light,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Terracotta_Tile_Light.uasset,21577,2fdfdddb36f53f3b597d426eed126b3b44eef607e7fb31e13a1043faa3da3752,,
native_asset_package,GoodsKit,GK_Timber_Recess,GK_Timber_Recess,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Timber_Recess.uasset,21489,5479d039edc55a7347ab36cb9672c8846f9707df088b68dff1510b577ecc4a0e,,
native_asset_package,GoodsKit,GK_Warm_Oak,GK_Warm_Oak,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/GK_Warm_Oak.uasset,21434,3962ccc9fc165ecd31acaa22bb34b570951d041023f9fbb9f2e91a8a628d2536,,
native_asset_package,GoodsKit,goods_tiles_terracotta_crate,红陶瓦商品箱,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_terracotta_crate/goods_tiles_terracotta_crate.uasset,86287,0906e1e5a80fbf80534464a67dc15c3e5567a781f23304b1bf163b5469c8a8ff,,
native_asset_package,HearthCottage,01___warm_lime_plaster,01___warm_lime_plaster,ThreeHearthsVillage/Content/ThreeHearths/Generated/HearthCottage/01___warm_lime_plaster.uasset,53746,574ddeda7fbe11864cbc9b82a7b63c938f250f3d5400fdecff5d1ef357242035,,
native_asset_package,HearthCottage,02___gable_cream,02___gable_cream,ThreeHearthsVillage/Content/ThreeHearths/Generated/HearthCottage/02___gable_cream.uasset,53649,8b2f06687908cff1bb74c422a310a40e3293edf86fb3ed494567ebbd9c3528f6,,
native_asset_package,HearthCottage,03___chestnut_timber,03___chestnut_timber,ThreeHearthsVillage/Content/ThreeHearths/Generated/HearthCottage/03___chestnut_timber.uasset,53174,c3ba4b9f3e6f4562ad32f910e1d9aafdc515cf7a7ab2233b16189f7e50810ea4,,
native_asset_package,HearthCottage,04___cut_timber_and_door,04___cut_timber_and_door,ThreeHearthsVillage/Content/ThreeHearths/Generated/HearthCottage/04___cut_timber_and_door.uasset,53645,7aa326fc4ab2f8d1466386fb60bcf9ca48707d49d428fc2545bfa351b3f1db9f,,
native_asset_package,HearthCottage,05___timber_recess,05___timber_recess,ThreeHearthsVillage/Content/ThreeHearths/Generated/HearthCottage/05___timber_recess.uasset,52611,44f94004192cd437354f84f48c0fe8bdb70c9478b5807ff37a75de5f711616bc,,
